MassiveID,filename,SampleType,SampleTypeSub1,NCBITaxonomy,YearOfAnalysis,SampleCollectionMethod,SampleExtractionMethod,InternalStandardsUsed,MassSpectrometer,IonizationSourceAndPolarity,ChromatographyAndPhase,SubjectIdentifierAsRecorded,AgeInYears,BiologicalSex,UBERONBodyPartName,TermsofPosition,HealthStatus,DOIDCommonName,ComorbidityListDOIDIndex,SampleCollectionDateandTime,Country,HumanPopulationDensity,LatitudeandLongitude,DepthorAltitudeMeters,sample_name,UniqueSubjectID,LifeStage,UBERONOntologyIndex,DOIDOntologyIndex
,,,,997723|Phlomis lanata,,,,,Applied Biosystems instrument model|MS:1000495,,,,,,,,,,,,Kenya,,,,,,,,
,,,,997721|Phlomis herba-venti,,,,,Auto Spec Ultima NT|MS:1000150,,,,,,,,,,,,Kiribati,,,,,,,,
,,,,997720|Phlomis herba-venti,,,,,autoflex II TOF/TOF|MS:1001553,,,,,,,,,,,,Kosovo,,,,,,,,
,,,,997719|Phlomis grandiflora,,,,,autoflex II|MS:1000148,,,,,,,,,,,,Kuwait,,,,,,,,
,,,,997711|Phlomis cashmeriana,,,,,autoflex III smartbeam|MS:1000696,,,,,,,,,,,,Kyrgyzstan,,,,,,,,
,,,,997710|Phlomis capitata,,,,,autoflex III TOF/TOF smartbeam|MS:1001554,,,,,,,,,,,,Laos,,,,,,,,
,,,,997709|Phlomis cancellata,,,,,autoflex TOF/TOF|MS:1000149,,,,,,,,,,,,Latvia,,,,,,,,
,,,,997704|Phlomis bovei,,,,,autoflex|MS:1001555,,,,,,,,,,,,Lebanon,,,,,,,,
,,,,997703|Phlomis bourgaei,,,,,AutoSpec Premier|MS:1002277,,,,,,,,,,,,Lesotho,,,,,,,,
,,,,997702|Phlomis aurea,,,,,AXIMA Assurance Linear MALDI-TOF|MS:1000612,,,,,,,,,,,,Liberia,,,,,,,,
,,,,997701|Phlomis armeniaca,,,,,AXIMA CFR MALDI-TOF|MS:1000607,,,,,,,,,,,,Libya,,,,,,,,
,,,,997699|Phlomis angustissima,,,,,AXIMA Confidence MALDI-TOF|MS:1000611,,,,,,,,,,,,Liechtenstein,,,,,,,,
,,,,997540|Mythimna ferrago,,,,,AXIMA Performance MALDI-TOF/TOF|MS:1000610,,,,,,,,,,,,Lithuania,,,,,,,,
,,,,9975|Lagomorpha,,,,,AXIMA-CFR plus|MS:1000609,,,,,,,,,,,,Luxembourg,,,,,,,,
,,,,997346|Desmospora sp. 8437,,,,,AXIMA-QIT|MS:1000608,,,,,,,,,,,,Madagascar,,,,,,,,
,,,,9973|Manis,,,,,BioTOF II|MS:1000151,,,,,,,,,,,,Malawi,,,,,,,,
,,,,997295|Streptococcus agalactiae,,,,,BioTOF III|MS:1001538,,,,,,,,,,,,Malaysia,,,,,,,,
,,,,9972|Manidae,,,,,BioTOF|MS:1001537,,,,,,,,,,,,Maldives,,,,,,,,
,,,,997024|Herklotsichthys quadrimaculatus,,,,,BioTOF-Q|MS:1000152,,,,,,,,,,,,Mali,,,,,,,,
,,,,996940|Heracleum moellendorffii paucivittatum,,,,,Bruker Daltonics amaZon series|MS:1001545,,,,,,,,,,,,Malta,,,,,,,,
,,,,996938|Desmoncus polyacanthos,,,,,Bruker Daltonics apex series|MS:1001556,,,,,,,,,,,,Marshall Islands,,,,,,,,
,,,,996894|Graphis vestitoides,,,,,Bruker Daltonics BioTOF series|MS:1001535,,,,,,,,,,,,Mauritania,,,,,,,,
,,,,996888|Graphis proserpens,,,,,Bruker Daltonics esquire series|MS:1001533,,,,,,,,,,,,Mauritius,,,,,,,,
,,,,99676|Annulatascaceae,,,,,Bruker Daltonics EVOQ series|MS:1002294,,,,,,,,,,,,Mexico,,,,,,,,
,,,,996637|Streptomyces griseoaurantiacus,,,,,Bruker Daltonics flex series|MS:1001534,,,,,,,,,,,,Micronesia,,,,,,,,
,,,,9966|Capricornis crispus,,,,,Bruker Daltonics HCT Series|MS:1000697,,,,,,,,,,,,ML import: not available,,,,,,,,
,,,,99658|Xanthoceras sorbifolium,,,,,Bruker Daltonics instrument model|MS:1000122,,,,,,,,,,,,Moldova,,,,,,,,
,,,,99657|Xanthoceras,,,,,Bruker Daltonics maXis series|MS:1001547,,,,,,,,,,,,Monaco,,,,,,,,
,,,,996514|Salsola oppositifolia,,,,,Bruker Daltonics micrOTOF series|MS:1001536,,,,,,,,,,,,Mongolia,,,,,,,,
,,,,996498|Anabasis articulata,,,,,Bruker Daltonics SCION series|MS:1002293,,,,,,,,,,,,Montenegro,,,,,,,,
,,,,996481|Veronica orchidea,,,,,Bruker Daltonics solarix series|MS:1001548,,,,,,,,,,,,Morocco,,,,,,,,
,,,,996406|Soroseris hookeriana,,,,,Bruker Daltonics timsTOF series|MS:1003123,,,,,,,,,,,,Mozambique,,,,,,,,
,,,,996351|Molinaea retusa,,,,,Citius HRT|MS:1001802,,,,,,,,,,,,Myanmar (formerly Burma),,,,,,,,
,,,,996341|Talinum tenuissimum,,,,,compact|MS:1002280,,,,,,,,,,,,Namibia,,,,,,,,
,,,,996334|Portulaca elatior,,,,,DELTA plusAdvantage|MS:1000153,,,,,,,,,,,,Nauru,,,,,,,,
