MassiveID,filename,SampleType,SampleTypeSub1,NCBITaxonomy,YearOfAnalysis,SampleCollectionMethod,SampleExtractionMethod,InternalStandardsUsed,MassSpectrometer,IonizationSourceAndPolarity,ChromatographyAndPhase,SubjectIdentifierAsRecorded,AgeInYears,BiologicalSex,UBERONBodyPartName,TermsofPosition,HealthStatus,DOIDCommonName,ComorbidityListDOIDIndex,SampleCollectionDateandTime,Country,HumanPopulationDensity,LatitudeandLongitude,DepthorAltitudeMeters,sample_name,UniqueSubjectID,LifeStage,UBERONOntologyIndex,DOIDOntologyIndex
,,,,996328|Anredera ramosa,,,,,DELTAplusXP|MS:1000154,,,,,,,,,,,,Nepal,,,,,,,,
,,,,996319|Hyptis glomerata,,,,,DFS|MS:1000640,,,,,,,,,,,,Netherlands,,,,,,,,
,,,,9962|Kobus ellipsiprymnus,,,,,Dionex instrument model|MS:1000491,,,,,,,,,,,,New Zealand,,,,,,,,
,,,,995819|Iris pumila,,,,,DSQ II|MS:1000641,,,,,,,,,,,,Nicaragua,,,,,,,,
,,,,995810|Iris nigricans,,,,,DSQ|MS:1000634,,,,,,,,,,,,Niger,,,,,,,,
,,,,995801|Iris hookeriana,,,,,Element 2|MS:1000646,,,,,,,,,,,,Nigeria,,,,,,,,
,,,,995800|Iris hoogiana,,,,,Element GD|MS:1000647,,,,,,,,,,,,North Korea,,,,,,,,
,,,,9958|Oryx gazella,,,,,Element XR|MS:1000645,,,,,,,,,,,,North Macedonia (formerly Macedonia),,,,,,,,
,,,,995794|Iris gracilipes,,,,,esquire 4000|MS:1000156,,,,,,,,,,,,Norway,,,,,,,,
,,,,995780|Rhyncholacis penicillata,,,,,esquire 6000|MS:1000157,,,,,,,,,,,,not applicable,,,,,,,,
,,,,99572|Jasus lalandii,,,,,EVOQ Elite|MS:1002297,,,,,,,,,,,,not applicble,,,,,,,,
,,,,99571|Dioclea guianensis,,,,,EVOQ Qube|MS:1002298,,,,,,,,,,,,not collected,,,,,,,,
,,,,99570|Elaeagnus multiflora,,,,,Exactive Plus|MS:1002526,,,,,,,,,,,,not specified,,,,,,,,
,,,,9954|Cephalophus,,,,,Exactive|MS:1000649,,,,,,,,,,,,not specified,,,,,,,,
,,,,99536|Todaroa aurea,,,,,explorer|MS:1000158,,,,,,,,,,,,Oman,,,,,,,,
,,,,99531|Selinum cryptotaenium,,,,,Finnigan MAT instrument model|MS:1000493,,,,,,,,,,,,Pakistan,,,,,,,,
,,,,99520|Peucedanum terebinthaceum,,,,,GC IsoLink|MS:1000648,,,,,,,,,,,,Palau,,,,,,,,
,,,,99510|Ligusticum pteridophyllum,,,,,GC Quantum|MS:1000558,,,,,,,,,,,,Palestine,,,,,,,,
,,,,99508|Heracleum pastinacifolium,,,,,GCMS-QP2010SE|MS:1003152,,,,,,,,,,,,Panama,,,,,,,,
,,,,99507|Heracleum moellendorffii,,,,,GCT Premier|MS:1001770,,,,,,,,,,,,Papua New Guinea,,,,,,,,
,,,,99506|Heracleum candicans,,,,,GCT|MS:1000159,,,,,,,,,,,,Paraguay,,,,,,,,
,,,,99503|Ferula tingitana,,,,,HCT|MS:1000160,,,,,,,,,,,,Peru,,,,,,,,
,,,,99502|Ferula kingdon-wardii,,,,,HCTplus|MS:1000161,,,,,,,,,,,,Philippines,,,,,,,,
,,,,99501|Echinophora tenuifolia,,,,,HCTultra ETD II|MS:1000700,,,,,,,,,,,,Poland,,,,,,,,
,,,,99498|Bifora testiculata,,,,,HCTultra PTM|MS:1000699,,,,,,,,,,,,Portugal,,,,,,,,
,,,,99494|Ulva clathrata,,,,,HCTultra|MS:1000698,,,,,,,,,,,,Qatar,,,,,,,,
,,,,994907|Alstonia venenata,,,,,HiRes ESI|MS:1000162,,,,,,,,,,,,Romania,,,,,,,,
,,,,99490|Loxodonta cyclotis,,,,,HiRes MALDI|MS:1000163,,,,,,,,,,,,Russia,,,,,,,,
,,,,9947|Tragelaphus imberbis,,,,,Hitachi instrument model|MS:1000488,,,,,,,,,,,,Rwanda,,,,,,,,
,,,,994678|Meretrix petechialis,,,,,impact HD|MS:1002667,,,,,,,,,,,,Saint Kitts and Nevis,,,,,,,,
,,,,994670|Celastrus paniculatus,,,,,impact II|MS:1002666,,,,,,,,,,,,Saint Lucia,,,,,,,,
,,,,994668|Celastrus paniculatus,,,,,impact|MS:1002077,,,,,,,,,,,,Saint Vincent and the Grenadines,,,,,,,,
,,,,9946|Tragelaphus strepsiceros,,,,,IonSpec instrument model|MS:1000123,,,,,,,,,,,,Samoa,,,,,,,,
,,,,99458|Viguiera robusta,,,,,IsoPrime|MS:1000164,,,,,,,,,,,,San Marino,,,,,,,,
,,,,99456|Viguiera quinqueremis,,,,,IsoProbe T|MS:1000166,,,,,,,,,,,,Sao Tome and Principe,,,,,,,,
,,,,99454|Viguiera mollis,,,,,IsoProbe|MS:1000165,,,,,,,,,,,,Saudi Arabia,,,,,,,,
,,,,99451|Viguiera gardneri,,,,,ISQ|MS:1001908,,,,,,,,,,,,Senegal,,,,,,,,
,,,,9945|Tragelaphus oryx,,,,,ITQ 1100|MS:1000637,,,,,,,,,,,,Serbia,,,,,,,,
,,,,99448|Viguiera aspilioides,,,,,ITQ 700|MS:1000635,,,,,,,,,,,,Seychelles,,,,,,,,
,,,,994479|Saccharopolyspora spinosa,,,,,ITQ 900|MS:1000636,,,,,,,,,,,,Sierra Leone,,,,,,,,
,,,,99447|Viguiera arenaria,,,,,LCMS-2010A|MS:1000606,,,,,,,,,,,,Singapore,,,,,,,,
,,,,99446|Semiliquidambar cathayensis,,,,,LCMS-2010EV|MS:1000605,,,,,,,,,,,,Slovakia,,,,,,,,
,,,,99441|Terminalia muelleri,,,,,LCMS-2020|MS:1003003,,,,,,,,,,,,Slovenia,,,,,,,,
,,,,99438|Lumnitzera racemosa,,,,,LCMS-8040|MS:1003002,,,,,,,,,,,,Solomon Islands,,,,,,,,
,,,,99437|Lumnitzera littorea,,,,,LCMS-8045|MS:1003001,,,,,,,,,,,,Somalia,,,,,,,,
,,,,99436|Lumnitzera,,,,,LCMS-8050|MS:1003000,,,,,,,,,,,,South Africa,,,,,,,,
,,,,99435|Combretum alfredii,,,,,LCMS-8060|MS:1002999,,,,,,,,,,,,South Korea,,,,,,,,
,,,,99434|Combretum,,,,,LCMS-9030|MS:1002998,,,,,,,,,,,,South Sudan,,,,,,,,
,,,,9943|Ovis dalli,,,,,LCMS-IT-TOF|MS:1000604,,,,,,,,,,,,Spain,,,,,,,,
,,,,9940|Ovis aries,,,,,LCQ Advantage|MS:1000167,,,,,,,,,,,,Sri Lanka,,,,,,,,
,,,,99398|Cratoneuron filicinum,,,,,LCQ Classic|MS:1000168,,,,,,,,,,,,Sudan,,,,,,,,
,,,,99387|Rosulabryum capillare,,,,,LCQ Deca XP Plus|MS:1000169,,,,,,,,,,,,Suriname,,,,,,,,
,,,,99386|Begonia palmata,,,,,LCQ Deca|MS:1000554,,,,,,,,,,,,Sweden,,,,,,,,
,,,,9938|Ovis aries musimon,,,,,LCQ Fleet|MS:1000578,,,,,,,,,,,,Switzerland,,,,,,,,
,,,,99363|Potamogeton nodosus,,,,,LECO instrument model|MS:1001800,,,,,,,,,,,,Syria,,,,,,,,
,,,,99344|Scomberomorus maculatus,,,,,LTQ FT Ultra|MS:1000557,,,,,,,,,,,,Taiwan,,,,,,,,
,,,,99343|Scomberomorus guttatus,,,,,LTQ FT|MS:1000448,,,,,,,,,,,,Tajikistan,,,,,,,,
,,,,99341|Scomberomorus brasiliensis,,,,,LTQ Orbitrap Classic|MS:1002835,,,,,,,,,,,,Tanzania,,,,,,,,
,,,,99340|Argemone ochroleuca,,,,,LTQ Orbitrap Discovery|MS:1000555,,,,,,,,,,,,Thailand,,,,,,,,
,,,,99339|Argemone mexicana,,,,,LTQ Orbitrap Elite|MS:1001910,,,,,,,,,,,,Timor-Leste,,,,,,,,
,,,,99332|Argemone subfusiformis,,,,,LTQ Orbitrap Velos Pro|MS:1003096,,,,,,,,,,,,Togo,,,,,,,,
,,,,99331|Argemone squarrosa,,,,,LTQ Orbitrap Velos|MS:1001742,,,,,,,,,,,,Tonga,,,,,,,,
,,,,99330|Argemone munita,,,,,LTQ Orbitrap XL ETD|MS:1000639,,,,,,,,,,,,Trinidad and Tobago,,,,,,,,
,,,,99325|Argemone platyceras,,,,,LTQ Orbitrap XL|MS:1000556,,,,,,,,,,,,Tunisia,,,,,,,,
,,,,99323|Argemone gracilenta,,,,,LTQ Orbitrap|MS:1000449,,,,,,,,,,,,Turkey,,,,,,,,
,,,,99322|Argemone munita,,,,,LTQ Velos ETD|MS:1000856,,,,,,,,,,,,Turkmenistan,,,,,,,,
,,,,99321|Argemone munita,,,,,LTQ Velos|MS:1000855,,,,,,,,,,,,Tuvalu,,,,,,,,
,,,,99319|Argemone hispida,,,,,LTQ XL ETD|MS:1000638,,,,,,,,,,,,Uganda,,,,,,,,
,,,,99318|Argemone grandiflora,,,,,LTQ XL|MS:1000854,,,,,,,,,,,,Ukraine,,,,,,,,
,,,,99315|Argemone fruticosa,,,,,LTQ|MS:1000447,,,,,,,,,,,,United Arab Emirates,,,,,,,,
,,,,993107|Juniperus polycarpos seravschanica,,,,,LXQ|MS:1000450,,,,,,,,,,,,United Kingdom,,,,,,,,
,,,,993106|Juniperus oxycedrus,,,,,M@LDI L|MS:1000170,,,,,,,,,,,,United States of America,,,,,,,,
,,,,993103|Pinus nigra,,,,,M@LDI LR|MS:1000171,,,,,,,,,,,,Uruguay,,,,,,,,
,,,,993101|Pinus sylvestris sylvestris,,,,,MALDI LTQ Orbitrap|MS:1000643,,,,,,,,,,,,Uzbekistan,,,,,,,,
,,,,9931|Damaliscus pygargus,,,,,MALDI LTQ XL|MS:1000642,,,,,,,,,,,,Vanuatu,,,,,,,,
,,,,993096|Opuntia littoralis,,,,,MALDI Synapt G2 HDMS|MS:1001771,,,,,,,,,,,,Vatican City (Holy See),,,,,,,,
,,,,993088|Gryllotalpa africana,,,,,MALDI Synapt G2 MS|MS:1001772,,,,,,,,,,,,Venezuela,,,,,,,,
,,,,99307|Argemone albiflora,,,,,MALDI Synapt G2-S HDMS|MS:1001773,,,,,,,,,,,,Vietnam,,,,,,,,
,,,,99306|Arctomecon humilis,,,,,MALDI Synapt G2-S MS|MS:1001774,,,,,,,,,,,,Yemen,,,,,,,,
,,,,99305|Arctomecon,,,,,MALDI SYNAPT G2-Si|MS:1002727,,,,,,,,,,,,Zambia,,,,,,,,
,,,,99304|Shorea talura,,,,,MALDI Synapt HDMS|MS:1001775,,,,,,,,,,,,Zimbabwe,,,,,,,,
,,,,993033|Plocamium suhrii,,,,,MALDI Synapt MS|MS:1001776,,,,,,,,,,,,,,,,,,,,
,,,,99302|Strychnos spinosa,,,,,MAT253|MS:1000172,,,,,,,,,,,,,,,,,,,,
,,,,99300|Rehmannia glutinosa,,,,,MAT900XP Trap|MS:1000174,,,,,,,,,,,,,,,,,,,,
,,,,99299|Rehmannia,,,,,MAT900XP|MS:1000173,,,,,,,,,,,,,,,,,,,,
,,,,99294|Hura crepitans,,,,,MAT95XP Trap|MS:1000176,,,,,,,,,,,,,,,,,,,,
,,,,99293|Hura,,,,,MAT95XP|MS:1000175,,,,,,,,,,,,,,,,,,,,
,,,,99292|Hovenia dulcis,,,,,maXis 4G|MS:1002279,,,,,,,,,,,,,,,,,,,,
,,,,99291|Hovenia,,,,,maXis II|MS:1003004,,,,,,,,,,,,,,,,,,,,
,,,,992876|Artemisia armeniaca,,,,,maXis|MS:1001541,,,,,,,,,,,,,,,,,,,,
,,,,992864|Varronia globosa,,,,,microflex II|MS:1001550,,,,,,,,,,,,,,,,,,,,
,,,,992842|Cordia exaltata,,,,,microflex LRF|MS:1001543,,,,,,,,,,,,,,,,,,,,
,,,,992840|Cordia dichotoma,,,,,microflex LT|MS:1000701,,,,,,,,,,,,,,,,,,,,
,,,,992815|Zanthoxylum leprieurii,,,,,microflex|MS:1000177,,,,,,,,,,,,,,,,,,,,
,,,,992813|Xylopia parviflora,,,,,micrOTOF II|MS:1001540,,,,,,,,,,,,,,,,,,,,
,,,,992811|Ximenia caffra,,,,,microTOF LC|MS:1000178,,,,,,,,,,,,,,,,,,,,
,,,,992807|Vernonia colorata,,,,,micrOTOF|MS:1000702,,,,,,,,,,,,,,,,,,,,
,,,,992804|Turraea obtusifolia,,,,,micrOTOF-Q II|MS:1000704,,,,,,,,,,,,,,,,,,,,
,,,,992803|Turraea nilotica,,,,,micrOTOF-Q III|MS:1002299,,,,,,,,,,,,,,,,,,,,
,,,,992802|Turraea floribunda,,,,,micrOTOF-Q|MS:1000703,,,,,,,,,,,,,,,,,,,,
,,,,992800|Trichilia dregeana,,,,,ML import: not available,,,,,,,,,,,,,,,,,,,,
,,,,9928|Damaliscus,,,,,nanoACQUITY UPLC System with 1D Technology|MS:1001767,,,,,,,,,,,,,,,,,,,,
,,,,992798|Toddaliopsis bremekampii,,,,,nanoACQUITY UPLC with HDX Technology|MS:1001768,,,,,,,,,,,,,,,,,,,,
,,,,992795|Tetradenia riparia,,,,,nanoACQUITY UPLC|MS:1001766,,,,,,,,,,,,,,,,,,,,
,,,,992791|Strychnos usambarensis,,,,,neptune|MS:1000179,,,,,,,,,,,,,,,,,,,,
,,,,992790|Strychnos pungens,,,,,NG-5400|MS:1000180,,,,,,,,,,,,,,,,,,,,
,,,,992788|Strophanthus kombe,,,,,not specified,,,,,,,,,,,,,,,,,,,,
,,,,992780|Salacia kraussii,,,,,OMEGA|MS:1000181,,,,,,,,,,,,,,,,,,,,
,,,,992776|Pseudarthria hookeri,,,,,OMEGA-2001|MS:1000182,,,,,,,,,,,,,,,,,,,,
,,,,992772|Pittosporum viridiflorum,,,,,OmniFlex|MS:1000183,,,,,,,,,,,,,,,,,,,,
,,,,992771|Pavetta schumanniana,,,,,Orbitrap Ascend|MS:1003356,,,,,,,,,,,,,,,,,,,,
,,,,992768|Parinari curatellifolia,,,,,Orbitrap Astral|MS:1003378,,,,,,,,,,,,,,,,,,,,
,,,,992763|Olax dissitiflora,,,,,Orbitrap Eclipse|MS:1003029,,,,,,,,,,,,,,,,,,,,
,,,,992762|Ochna pulchra,,,,,Orbitrap Exploris 120|MS:1003095,,,,,,,,,,,,,,,,,,,,
,,,,992735|Monanthotaxis caffra,,,,,Orbitrap Exploris 240|MS:1003094,,,,,,,,,,,,,,,,,,,,
,,,,992733|Markhamia zanzibarica,,,,,Orbitrap Exploris 480|MS:1003028,,,,,,,,,,,,,,,,,,,,
,,,,992730|Maesa lanceolata,,,,,Orbitrap Fusion ETD|MS:1002417,,,,,,,,,,,,,,,,,,,,
,,,,992721|Lannea edulis,,,,,Orbitrap Fusion Lumos|MS:1002732,,,,,,,,,,,,,,,,,,,,
,,,,992719|Kirkia acuminata,,,,,Orbitrap Fusion|MS:1002416,,,,,,,,,,,,,,,,,,,,
,,,,992713|Hibiscus micranthus,,,,,Orbitrap ID-X|MS:1003112,,,,,,,,,,,,,,,,,,,,
,,,,992712|Hexalobus monopetalus,,,,,Pegasus 4D|MS:1001945,,,,,,,,,,,,,,,,,,,,
,,,,9927|Connochaetes taurinus,,,,,Pegasus BT|MS:1002719,,,,,,,,,,,,,,,,,,,,
,,,,992695|Erythroxylum emarginatum,,,,,Pegasus HRT|MS:1001801,,,,,,,,,,,,,,,,,,,,
,,,,992694|Erythroxylum delagoense,,,,,Pegasus III|MS:1002278,,,,,,,,,,,,,,,,,,,,
,,,,992693|Erythrina humeana,,,,,Pegasus|MS:1001803,,,,,,,,,,,,,,,,,,,,
,,,,992692|Elephantorrhiza goetzei,,,,,Platform ICP|MS:1000184,,,,,,,,,,,,,,,,,,,,
,,,,992690|Ekebergia pterophylla,,,,,PolarisQ|MS:1000185,,,,,,,,,,,,,,,,,,,,
,,,,992685|Drypetes gerrardii,,,,,proteomics solution 1|MS:1000186,,,,,,,,,,,,,,,,,,,,
,,,,992678|Cussonia natalensis,,,,,Q Exactive HF|MS:1002523,,,,,,,,,,,,,,,,,,,,
,,,,992677|Croton sylvaticus,,,,,Q Exactive HF-X|MS:1002877,,,,,,,,,,,,,,,,,,,,
,,,,992676|Croton steenkampianus,,,,,Q Exactive Plus|MS:1002634,,,,,,,,,,,,,,,,,,,,
,,,,992673|Crotalaria laburnifolia,,,,,Q Exactive UHMR|MS:1003245,,,,,,,,,,,,,,,,,,,,
,,,,992668|Commiphora glandulosa,,,,,Q Exactive|MS:1001911,,,,,,,,,,,,,,,,,,,,
,,,,992663|Cassia abbreviata,,,,,Q TRAP|MS:1000187,,,,,,,,,,,,,,,,,,,,
,,,,992661|Carissa edulis,,,,,QSTAR Elite|MS:1000655,,,,,,,,,,,,,,,,,,,,
,,,,992658|Capparis sepiaria,,,,,QSTAR Pulsar|MS:1000656,,,,,,,,,,,,,,,,,,,,
,,,,992654|Brachylaena transvaalensis,,,,,QSTAR XL|MS:1000657,,,,,,,,,,,,,,,,,,,,
,,,,992650|Berchemia zeyheri,,,,,QSTAR|MS:1000190,,,,,,,,,,,,,,,,,,,,
,,,,992646|Azanza garckeana,,,,,Q-Tof micro|MS:1000188,,,,,,,,,,,,,,,,,,,,
,,,,992645|Artabotrys brachypetalus,,,,,Q-Tof Premier|MS:1000632,,,,,,,,,,,,,,,,,,,,
,,,,992644|Antidesma venosum,,,,,Q-Tof Ultima|MS:1000189,,,,,,,,,,,,,,,,,,,,
,,,,992642|Aloe spicata,,,,,QTRAP 4500|MS:1002580,,,,,,,,,,,,,,,,,,,,
,,,,992641|Aloe marlothii,,,,,QTRAP 5500|MS:1000931,,,,,,,,,,,,,,,,,,,,
,,,,992640|Aloe excelsa,,,,,QTRAP 6500|MS:1002581,,,,,,,,,,,,,,,,,,,,
,,,,992638|Albizia tanganyicensis,,,,,QTRAP 6500+|MS:1002582,,,,,,,,,,,,,,,,,,,,
,,,,992634|Albizia anthelmintica,,,,,Quattro micro GC|MS:1001789,,,,,,,,,,,,,,,,,,,,
,,,,992633|Albizia adianthifolia,,,,,quattro micro|MS:1000191,,,,,,,,,,,,,,,,,,,,
,,,,992630|Adenium multiflorum,,,,,Quattro Ultima|MS:1000192,,,,,,,,,,,,,,,,,,,,
,,,,9925|Capra hircus,,,,,rapifleX|MS:1003122,,,,,,,,,,,,,,,,,,,,
,,,,992422|Thilachium,,,,,SCIEX instrument model|MS:1000121,,,,,,,,,,,,,,,,,,,,
,,,,992408|Ruspolia hypocrateriformis,,,,,SCIEX TOF/TOF database|MS:1001481,,,,,,,,,,,,,,,,,,,,
,,,,992400|Azanza,,,,,SCION SQ|MS:1002295,,,,,,,,,,,,,,,,,,,,
,,,,9923|Capra aegagrus,,,,,SCION TQ|MS:1002296,,,,,,,,,,,,,,,,,,,,
,,,,992286|Rhodovulum bhavnagarense,,,,,SELECT SERIES Cyclic IMS|MS:1003184,,,,,,,,,,,,,,,,,,,,
,,,,9922|Capra,,,,,SELECT SERIES MRT|MS:1003185,,,,,,,,,,,,,,,,,,,,
,,,,992|Flexibacter,,,,,Shimadzu instrument model|MS:1000124,,,,,,,,,,,,,,,,,,,,
,,,,991868|Ampelocissus cinnamomea,,,,,Shimadzu MALDI-7090|MS:1002382,,,,,,,,,,,,,,,,,,,,
,,,,991778|Rhodopirellula baltica,,,,,Shimadzu MALDI-TOF instrument model|MS:1000602,,,,,,,,,,,,,,,,,,,,
,,,,9917|Boselaphus tragocamelus,,,,,Shimadzu Scientific Instruments instrument model|MS:1000603,,,,,,,,,,,,,,,,,,,,
,,,,99155|Acer fabri,,,,,solariX|MS:1001549,,,,,,,,,,,,,,,,,,,,
,,,,9913|Bos taurus,,,,,SQ Detector 2|MS:1002274,,,,,,,,,,,,,,,,,,,,
,,,,99116|Penicillium olsonii,,,,,SSQ 7000|MS:1000748,,,,,,,,,,,,,,,,,,,,
,,,,991123|Spondias tuberosa,,,,,Surveyor MSQ|MS:1000193,,,,,,,,,,,,,,,,,,,,
,,,,991083|Muricella,,,,,Surveyor PDA|MS:1000622,,,,,,,,,,,,,,,,,,,,
,,,,991082|Anthoplexaura dimorpha,,,,,SymBiot I|MS:1000194,,,,,,,,,,,,,,,,,,,,
,,,,991079|Verrucella umbraculum,,,,,SymBiot XVI|MS:1000195,,,,,,,,,,,,,,,,,,,,
,,,,991077|Menella praelonga,,,,,Synapt G2 HDMS|MS:1001777,,,,,,,,,,,,,,,,,,,,
,,,,991075|Euplexaura anastomosans,,,,,Synapt G2 MS|MS:1001778,,,,,,,,,,,,,,,,,,,,
,,,,991073|Bebryce indica,,,,,Synapt G2-S HDMS|MS:1001779,,,,,,,,,,,,,,,,,,,,
,,,,991070|Catenicellidae,,,,,Synapt G2-S MS|MS:1001780,,,,,,,,,,,,,,,,,,,,
,,,,99106|Tanacetum macrophyllum,,,,,SYNAPT G2-Si|MS:1002726,,,,,,,,,,,,,,,,,,,,
,,,,99105|Tanacetum,,,,,Synapt HDMS|MS:1001781,,,,,,,,,,,,,,,,,,,,
,,,,991028|Biflustra perfragilis,,,,,Synapt MS|MS:1001782,,,,,,,,,,,,,,,,,,,,
,,,,99101|Seriphidium,,,,,Synapt XS|MS:1003183,,,,,,,,,,,,,,,,,,,,
,,,,99099|Schistostephium,,,,,TEMPUS TOF|MS:1000196,,,,,,,,,,,,,,,,,,,,
,,,,99098|Santolina rosmarinifolia,,,,,Thermo Electron instrument model|MS:1000492,,,,,,,,,,,,,,,,,,,,
,,,,99095|Pseudohandelia umbellifera,,,,,Thermo Finnigan instrument model|MS:1000125,,,,,,,,,,,,,,,,,,,,
,,,,99092|Phymaspermum,,,,,Thermo Fisher Scientific instrument model|MS:1000483,,,,,,,,,,,,,,,,,,,,
,,,,99090|Pentzia,,,,,Thermo Scientific instrument model|MS:1000494,,,,,,,,,,,,,,,,,,,,
,,,,99088|Osmitopsis osmitoides,,,,,timsTOF fleX|MS:1003124,,,,,,,,,,,,,,,,,,,,
,,,,99082|Cancrinia discoidea,,,,,timsTOF Pro 2|MS:1003230,,,,,,,,,,,,,,,,,,,,
,,,,99078|Lugoa revoluta,,,,,timsTOF Pro|MS:1003005,,,,,,,,,,,,,,,,,,,,
,,,,99076|Lonas annua,,,,,timsTOF SCP|MS:1003231,,,,,,,,,,,,,,,,,,,,
,,,,99072|Leucanthemum vulgare,,,,,timsTOF Ultra|MS:1003383,,,,,,,,,,,,,,,,,,,,
,,,,99071|Leucanthemum,,,,,timsTOF|MS:1003229,,,,,,,,,,,,,,,,,,,,
,,,,99070|Leucanthemella serotina,,,,,TRACE DSQ|MS:1000197,,,,,,,,,,,,,,,,,,,,
,,,,99068|Lasiospermum bipinnatum,,,,,Triple Quad 3500|MS:1002591,,,,,,,,,,,,,,,,,,,,
,,,,990661|Daedalea incana,,,,,Triple Quad 4500|MS:1002592,,,,,,,,,,,,,,,,,,,,
,,,,990611|Myliobatis aquila,,,,,Triple Quad 5500|MS:1002593,,,,,,,,,,,,,,,,,,,,
,,,,99060|Heteranthemis viscidihirta,,,,,Triple Quad 6500|MS:1002594,,,,,,,,,,,,,,,,,,,,
,,,,99057|Gymnopentzia,,,,,Triple Quad 6500+|MS:1002595,,,,,,,,,,,,,,,,,,,,
,,,,99056|Gonospermum canariense,,,,,Triple Quad 7500|MS:1003144,,,,,,,,,,,,,,,,,,,,
,,,,99054|Glossopappus macrotus,,,,,TripleTOF 4600|MS:1002583,,,,,,,,,,,,,,,,,,,,
,,,,99052|Eumorphia sericea,,,,,TripleTOF 5600|MS:1000932,,,,,,,,,,,,,,,,,,,,
,,,,99051|Eumorphia,,,,,TripleTOF 5600+|MS:1002584,,,,,,,,,,,,,,,,,,,,
,,,,99050|Eriocephalus africanus,,,,,TripleTOF 6600|MS:1002533,,,,,,,,,,,,,,,,,,,,
,,,,99049|Eriocephalus,,,,,TRITON|MS:1000198,,,,,,,,,,,,,,,,,,,,
,,,,99046|Crossostephium chinense,,,,,TRIZAIC UPLC nanoTile|MS:1001769,,,,,,,,,,,,,,,,,,,,
,,,,99045|Crossostephium,,,,,TruTOF|MS:1001804,,,,,,,,,,,,,,,,,,,,
,,,,99043|Cotula,,,,,TSQ 7000|MS:1000749,,,,,,,,,,,,,,,,,,,,
,,,,99042|Coleostephus myconis,,,,,TSQ 8000 Evo|MS:1002525,,,,,,,,,,,,,,,,,,,,
,,,,99041|Coleostephus,,,,,TSQ 9000|MS:1002876,,,,,,,,,,,,,,,,,,,,
,,,,99040|Cladanthus arabicus,,,,,TSQ Altis Plus|MS:1003292,,,,,,,,,,,,,,,,,,,,
,,,,9904|Bos gaurus,,,,,TSQ Altis|MS:1002874,,,,,,,,,,,,,,,,,,,,
,,,,99039|Cladanthus,,,,,TSQ Endura|MS:1002419,,,,,,,,,,,,,,,,,,,,
,,,,99037|Chamaemelum nobile,,,,,TSQ Quantis|MS:1002875,,,,,,,,,,,,,,,,,,,,
,,,,990364|Tamarix tetragyna,,,,,TSQ Quantiva|MS:1002418,,,,,,,,,,,,,,,,,,,,
,,,,99036|Chamaemelum,,,,,TSQ Quantum Access|MS:1000644,,,,,,,,,,,,,,,,,,,,
,,,,990351|Osmanthus austrocaledonicus,,,,,TSQ Quantum Ultra AM|MS:1000743,,,,,,,,,,,,,,,,,,,,
,,,,99035|Calendula arvensis,,,,,TSQ Quantum Ultra|MS:1000751,,,,,,,,,,,,,,,,,,,,
,,,,99033|Athanasia,,,,,TSQ Quantum|MS:1000199,,,,,,,,,,,,,,,,,,,,
,,,,99032|Argyranthemum frutescens,,,,,TSQ Vantage|MS:1001510,,,,,,,,,,,,,,,,,,,,
,,,,990316|Methanothrix soehngenii,,,,,TSQ|MS:1000750,,,,,,,,,,,,,,,,,,,,
,,,,99030|Arctanthemum arcticum,,,,,ultima|MS:1000200,,,,,,,,,,,,,,,,,,,,
,,,,99028|Cota tinctoria,,,,,ultraflex III TOF/TOF|MS:1000705,,,,,,,,,,,,,,,,,,,,
,,,,99027|Anthemis,,,,,ultraflex TOF/TOF|MS:1000202,,,,,,,,,,,,,,,,,,,,
,,,,99026|Anacyclus clavatus,,,,,ultraflex|MS:1000201,,,,,,,,,,,,,,,,,,,,
,,,,99025|Anacyclus,,,,,ultrafleXtreme|MS:1001544,,,,,,,,,,,,,,,,,,,,
,,,,99024|Ajania fruticulosa,,,,,UltroTOF-Q|MS:1001539,,,,,,,,,,,,,,,,,,,,
,,,,99023|Ajania,,,,,Varian instrument model|MS:1000489,,,,,,,,,,,,,,,,,,,,
,,,,99020|Eucalyptus urophylla,,,,,Velos Plus|MS:1001909,,,,,,,,,,,,,,,,,,,,
,,,,99019|Eucalyptus saligna,,,,,Vion IMS QTof|MS:1002728,,,,,,,,,,,,,,,,,,,,
,,,,99017|Swainsona galegifolia,,,,,Voyager-DE PRO|MS:1000203,,,,,,,,,,,,,,,,,,,,
,,,,989928|Lepidozia fauriana,,,,,Voyager-DE STR|MS:1000204,,,,,,,,,,,,,,,,,,,,
,,,,989911|Bazzania nitida,,,,,Waters instrument model|MS:1000126,,,,,,,,,,,,,,,,,,,,
,,,,9899|Ammotragus lervia,,,,,X500R QTOF|MS:1002674,,,,,,,,,,,,,,,,,,,,
,,,,989887|Choristoneura occidentalis,,,,,Xevo G2 Q-Tof|MS:1001783,,,,,,,,,,,,,,,,,,,,
,,,,989733|Agapeta zoegana,,,,,Xevo G2 Tof|MS:1001784,,,,,,,,,,,,,,,,,,,,
,,,,9897|Aepyceros melampus,,,,,Xevo G2 XS Tof|MS:1002729,,,,,,,,,,,,,,,,,,,,
,,,,98966|Gracillariidae,,,,,Xevo G2-S QTof|MS:1002276,,,,,,,,,,,,,,,,,,,,
,,,,98965|Hepialus californicus,,,,,Xevo G2-S Tof|MS:1002275,,,,,,,,,,,,,,,,,,,,
